Convsation_Id,User_Rating,Observer_Rating,Self_Rating,Language
114,9.0,9.0,9.0,Spanish
115,3.0,3.0,6.5,English
116,9.0,8.5,9.0,Portuguese
117,9.0,9.0,9.0,English
118,9.0,8.5,8.5,English
119,9.0,8.5,9.0,Zulu
120,10.0,9.0,9.0,Portuguese
121,9.0,8.5,8.5,Portuguese
122,9.0,9.0,9.0,English
123,9.0,9.0,9.0,English
124,9.0,9.0,9.0,Portuguese
125,9.0,9.0,9.0,English
126,9.0,8.5,9.0,French
127,9.0,9.0,9.0,Portuguese
128,9.0,8.5,9.0,Dutch
129,9.0,9.0,9.0,Swahili
130,9.0,9.0,9.0,Spanish
131,9.0,9.0,9.0,Spanish
132,9.0,9.0,9.0,English
133,8.0,6.5,7.5,English
134,9.0,8.5,9.0,English
135,9.0,9.0,9.0,Portuguese
136,9.0,8.5,9.0,English
137,10.0,9.0,9.0,Dutch
138,9.0,9.0,9.0,English
139,9.0,9.0,9.0,Portuguese
140,9.0,9.0,9.0,English
141,9.0,8.5,9.0,Portuguese
142,8.0,7.5,6.5,Dutch
143,8.5,8.5,8.5,Portuguese
144,8.5,8.5,9.0,Portuguese
145,4.0,4.5,5.0,Dutch
146,9.0,8.5,8.5,Spanish
147,9.0,8.5,8.5,English
148,9.0,8.5,9.0,Dutch
149,5.0,4.5,5.0,Swahili
150,6.5,6.5,7.5,Spanish
151,6.5,7.5,6.5,Portuguese
152,9.0,8.5,8.5,English
153,9.0,9.0,9.0,English
154,9.0,8.5,8.5,Spanish
155,9.0,9.0,9.0,Dutch
156,9.0,9.0,9.0,English
157,9.0,8.5,9.0,English
158,9.0,9.0,9.0,English
159,9.0,8.5,9.0,English
160,9.0,8.5,9.0,English
161,9.0,8.5,8.5,Spanish
162,9.0,8.5,8.5,Dutch
163,10.0,9.0,9.0,Dutch
164,9.0,9.0,9.0,Portuguese
165,9.0,8.5,8.5,Portuguese
166,9.0,8.5,9.0,English
167,9.0,8.5,9.0,Portuguese
168,9.0,8.5,9.0,Spanish
169,9.0,8.5,9.0,Dutch
170,9.0,8.5,9.0,Dutch
171,9.0,9.0,9.0,Dutch
172,9.0,8.5,9.0,Spanish
173,9.0,8.5,9.0,English
174,9.0,9.0,9.0,French
175,9.0,8.5,8.5,Portuguese
176,9.0,9.0,9.0,English
177,10.0,9.0,9.0,English
178,10.0,9.0,9.0,Portuguese
179,9.0,9.0,9.0,English
180,9.0,9.0,9.0,Dutch
181,9.0,9.0,9.0,English
182,9.0,9.0,9.0,Portuguese
183,8.5,6.5,7.5,Dutch
184,9.0,9.0,9.0,Spanish
185,10.0,9.0,9.0,Portuguese
186,9.0,9.0,9.0,Portuguese
187,9.0,9.0,9.0,Portuguese
188,9.0,9.0,9.0,Dutch
189,9.0,9.0,9.0,French
190,9.0,9.0,9.0,English
191,9.0,8.5,9.0,Portuguese
192,9.0,9.0,9.0,English
193,9.0,9.0,9.0,Portuguese
194,8.5,8.5,8.5,Hindi
195,9.0,9.0,9.0,Portuguese
196,9.0,9.0,9.0,English
197,9.0,9.0,9.0,Portuguese
198,9.0,8.5,8.5,Portuguese
199,9.0,9.0,9.0,English
200,9.0,9.0,9.0,Portuguese
201,9.0,8.5,8.5,Swahili
202,9.0,9.0,9.0,Swahili
203,9.0,8.5,9.0,English
204,9.0,9.0,9.0,Spanish
205,10.0,9.0,9.0,Portuguese
206,9.0,9.0,9.0,English
207,10.0,9.0,9.0,Portuguese
208,10.0,9.0,9.0,English
209,10.0,9.0,9.0,English
210,10.0,9.0,9.0,English
211,9.0,9.0,9.0,English
212,9.0,8.5,9.0,Portuguese
213,9.0,9.0,9.0,Dutch
214,9.0,8.5,9.0,Portuguese
215,9.0,8.5,9.0,Portuguese
216,9.0,8.5,9.0,Portuguese
217,9.0,9.0,8.5,Portuguese
218,9.0,8.5,8.5,Dutch
219,9.0,8.5,9.0,English
220,9.0,8.5,9.0,Portuguese
221,9.0,9.0,9.0,Portuguese
222,9.0,8.5,8.5,English
223,9.0,9.0,9.0,Dutch
224,10.0,9.0,9.0,English
225,9.0,8.5,8.5,English
226,9.0,7.5,8.5,Dutch
227,9.0,9.0,9.0,Swahili
228,9.0,8.5,8.5,Portuguese
229,9.0,9.0,9.0,Portuguese
230,9.0,9.0,9.0,English
231,9.0,9.0,9.0,English
232,9.0,7.5,8.5,Portuguese
233,7.5,7.5,8.5,French
234,9.0,9.0,9.0,Swahili
235,10.0,9.0,9.0,Portuguese
236,9.0,8.5,9.0,English
237,9.0,9.0,9.0,English
238,9.0,8.5,8.5,English
239,10.0,9.0,9.0,English
240,9.0,9.0,9.0,Portuguese
241,9.0,7.5,7.5,Spanish
242,9.0,9.0,9.0,Swahili
243,8.5,6.5,7.5,French
244,9.0,9.0,9.0,Portuguese
245,9.0,7.5,8.5,English
246,9.0,9.0,9.0,Portuguese
247,9.0,8.5,9.0,Portuguese
248,9.0,9.0,9.0,Portuguese
249,9.0,9.0,9.0,Portuguese
250,9.0,9.0,9.0,English
251,9.0,7.5,8.5,Portuguese
252,9.0,9.0,9.0,French
253,9.0,9.0,9.0,French
254,9.0,9.0,9.0,English
255,9.0,9.0,9.0,English
256,9.0,9.0,9.0,Portuguese
257,9.0,9.0,9.0,English
258,8.5,8.5,8.5,English
259,9.0,9.0,9.0,Portuguese
260,9.0,8.5,8.5,Portuguese
261,9.0,9.0,9.0,Spanish
262,9.0,8.5,8.5,Portuguese
263,9.0,9.0,9.0,French
264,10.0,9.0,9.0,English
265,9.0,9.0,9.0,English
266,9.0,8.5,9.0,Portuguese
267,9.0,9.0,9.0,Portuguese
268,9.0,9.0,9.0,Portuguese
269,9.0,9.0,9.0,Portuguese
270,9.0,9.0,9.0,Portuguese
271,9.0,9.0,9.0,Spanish
272,9.0,8.5,9.0,Portuguese
273,9.0,7.5,8.5,Portuguese
274,9.0,9.0,9.0,Swahili
275,9.0,9.0,9.0,Portuguese
276,9.0,9.0,9.0,English
277,9.0,9.0,9.0,Portuguese
278,9.0,9.0,9.0,Portuguese
279,9.0,9.0,8.5,French
280,9.0,9.0,9.0,English
281,9.0,8.5,9.0,English
282,9.0,8.5,9.0,English
283,9.0,9.0,9.0,Swahili
284,9.0,8.5,8.5,Dutch
285,9.0,8.5,9.0,Portuguese
286,9.0,8.5,8.5,Dutch
287,9.0,9.0,9.0,Dutch
288,9.0,9.0,9.0,Portuguese
289,9.0,8.5,9.0,Spanish
290,9.0,9.0,9.0,English
291,9.0,9.0,9.0,Portuguese
292,9.0,8.5,9.0,Portuguese
293,9.0,8.5,8.5,Spanish
294,9.0,9.0,9.0,French
295,9.0,8.5,9.0,Dutch
296,9.0,8.5,9.0,Portuguese
297,9.0,8.5,9.0,French
298,10.0,9.0,9.0,English
299,9.0,9.0,9.0,Portuguese
300,9.0,8.5,9.0,Portuguese
301,10.0,9.0,9.0,English
302,9.0,9.0,9.0,Portuguese
303,9.0,9.0,9.0,Portuguese
304,9.0,9.0,9.0,English
305,9.0,6.5,7.5,Portuguese
306,9.0,9.0,9.0,Dutch
307,9.0,9.0,9.0,Portuguese
308,10.0,9.0,9.0,Portuguese
309,10.0,8.5,8.5,English
310,9.0,8.5,8.5,Spanish
311,9.0,9.0,8.5,Nederlands
312,9.0,9.0,9.0,Dutch
313,9.0,9.0,9.0,English
314,9.0,9.0,9.0,English
315,9.0,9.0,9.0,Spanish
316,9.0,8.5,9.0,English
317,9.0,9.0,9.0,Dutch
318,9.0,9.0,9.0,English
319,9.0,9.0,9.0,Portuguese
320,9.0,8.5,8.5,Dutch
321,9.0,9.0,9.0,Dutch
322,9.0,8.5,8.5,English
323,9.0,9.0,9.0,Portuguese
324,9.0,9.0,9.0,English
325,9.0,8.5,9.0,French
326,9.0,9.0,9.0,Swahili
327,9.0,9.0,9.0,English
328,10.0,9.0,9.0,Portuguese
329,9.0,9.0,9.0,English
330,9.0,9.0,9.0,English
331,9.0,9.0,9.0,English
332,9.0,9.0,9.0,English
333,9.0,9.0,9.0,Portuguese
334,9.0,8.5,9.0,Portuguese
335,9.0,8.5,9.0,Portuguese
336,9.0,9.0,9.0,Dutch
337,9.0,9.0,9.0,Portuguese
338,9.0,9.0,9.0,Dutch
339,9.0,9.0,9.0,Spanish
340,9.0,9.0,9.0,Portuguese
341,10.0,9.0,9.0,English
342,9.0,8.5,9.0,English
343,9.0,9.0,9.0,Portuguese
344,9.0,8.5,8.5,English
345,9.0,9.0,9.0,French
346,9.0,8.5,9.0,French
347,9.0,8.5,8.5,Swahili
348,9.0,8.5,9.0,Spanish
349,9.0,8.5,8.5,Portuguese
350,9.0,9.0,9.0,Swahili
351,9.0,8.5,9.0,Spanish
352,9.0,9.0,9.0,Swahili
353,9.0,9.0,9.0,English
354,9.0,9.0,9.0,English
355,9.0,8.5,8.5,English
356,9.0,9.0,9.0,English
357,9.0,9.0,9.0,Portuguese
358,9.0,9.0,9.0,Portuguese
359,9.0,9.0,9.0,English
360,9.0,9.0,9.0,Swahili
361,9.0,9.0,9.0,English
362,9.0,9.0,9.0,Portuguese
363,9.0,9.0,9.0,Dutch
364,9.0,9.0,9.0,Portuguese
365,9.0,9.0,9.0,English
366,10.0,9.0,9.0,English
367,9.0,9.0,9.0,Swahili
368,9.0,9.0,9.0,Portuguese
369,9.0,8.5,9.0,Hindi
370,9.0,9.0,9.0,Spanish
371,9.0,9.0,9.0,Portuguese
372,9.0,9.0,9.0,English
373,9.0,8.5,9.0,English
374,9.0,9.0,9.0,Portuguese
375,9.0,8.5,9.0,English
376,10.0,8.5,9.0,Portuguese
377,9.0,8.5,8.5,Portuguese
378,9.0,8.5,9.0,Swahili
379,9.0,9.0,9.0,Spanish
380,9.0,9.0,9.0,Portuguese
381,2.0,2.0,2.0,Portuguese
382,8.5,8.5,8.5,Español
383,3.0,2.0,3.0,Spanish
384,9.0,9.0,9.0,French
385,4.0,4.5,5.0,Portuguese
386,9.0,9.0,9.0,Swahili
387,9.0,8.5,8.5,Portuguese
388,9.0,9.0,9.0,Portuguese
389,9.0,8.5,9.0,Portuguese
390,9.0,8.5,9.0,English
391,8.5,7.5,8.5,Dutch
392,8.5,7.5,8.5,Dutch
393,9.0,8.5,8.5,Dutch
394,9.0,8.5,8.5,Spanish
395,9.0,8.5,9.0,English
396,9.0,9.0,9.0,Spanish
397,9.0,9.0,9.0,Portuguese
398,9.0,8.5,9.0,Portuguese
399,9.0,6.5,8.5,Portuguese
400,9.0,8.5,8.5,Portuguese
401,9.0,9.0,9.0,Dutch
402,9.0,9.0,9.0,Dutch
403,9.0,9.0,9.0,English
404,9.0,9.0,9.0,Portuguese
405,9.0,9.0,9.0,Dutch
406,9.0,8.5,9.0,Portuguese
407,9.0,9.0,9.0,English
408,9.0,9.0,9.0,English
409,9.0,9.0,9.0,French
410,9.0,9.0,9.0,Portuguese
411,9.0,9.0,9.0,English
412,8.5,8.5,8.5,Portuguese
413,9.0,9.0,9.0,English
414,9.0,9.0,9.0,Portuguese
415,9.0,9.0,9.0,Portuguese
416,9.0,9.0,9.0,Spanish
417,9.0,9.0,9.0,Portuguese
418,9.0,9.0,9.0,Portuguese
419,9.0,8.5,9.0,English
420,9.0,9.0,9.0,French
421,9.0,9.0,9.0,French
422,9.0,9.0,9.0,English
423,9.0,9.0,9.0,Dutch
424,9.0,9.0,9.0,English
425,9.0,9.0,9.0,Dutch
426,9.0,9.0,9.0,Portuguese
427,9.0,9.0,9.0,Portuguese
428,9.0,9.0,9.0,Portuguese
429,9.0,9.0,9.0,Swahili
430,9.0,9.0,9.0,Portuguese
431,10.0,9.0,9.0,English
432,9.0,9.0,9.0,Spanish
433,9.0,9.0,9.0,Dutch
434,9.0,9.0,9.0,Dutch
435,9.0,9.0,9.0,English
436,9.0,9.0,9.0,Portuguese
437,9.0,8.5,8.5,English
438,9.0,9.0,9.0,French
439,9.0,9.0,9.0,English
440,9.0,8.5,9.0,English
441,9.0,9.0,9.0,Portuguese
442,9.0,9.0,9.0,English
443,9.0,9.0,9.0,Dutch
444,10.0,9.0,9.0,Portuguese
445,9.0,9.0,9.0,English
446,9.0,9.0,9.0,Dutch
447,9.0,9.0,9.0,Dutch
448,10.0,9.0,9.0,Dutch
449,9.0,9.0,9.0,Portuguese
450,9.0,9.0,9.0,English
451,9.0,9.0,9.0,English
452,9.0,9.0,9.0,Portuguese
453,9.0,9.0,9.0,Portuguese
454,9.0,9.0,9.0,Dutch
455,9.0,9.0,9.0,Portuguese
456,9.0,9.0,9.0,English
457,9.0,8.5,8.5,Spanish
458,9.0,9.0,9.0,Swahili
459,9.0,9.0,9.0,Portuguese
460,10.0,9.0,9.0,Portuguese
461,9.0,9.0,9.0,English
462,9.0,9.0,9.0,English
463,9.0,9.0,9.0,English
464,10.0,9.0,9.0,Swahili
465,9.0,9.0,9.0,English
466,9.0,9.0,9.0,English
467,9.0,9.0,9.0,Portuguese
468,9.0,9.0,9.0,Swahili
469,9.0,9.0,9.0,Portuguese
470,10.0,9.0,9.0,Portuguese
471,9.0,9.0,9.0,English
472,9.0,9.0,9.0,Spanish
473,9.0,8.5,9.0,Spanish
474,9.0,8.5,9.0,English
475,9.0,8.5,9.0,Dutch
476,9.0,8.5,8.5,Spanish
477,9.0,7.5,8.5,English
478,9.0,9.0,9.0,Portuguese
479,8.5,7.5,7.5,Portuguese
480,8.5,8.5,8.5,Spanish
481,9.0,9.0,9.0,Portuguese
482,9.0,8.5,9.0,Portuguese
483,9.0,9.0,9.0,Portuguese
484,9.0,9.0,9.0,English
485,8.5,8.5,8.5,Portuguese
486,10.0,9.0,9.0,Portuguese
487,7.5,6.5,6.5,Spanish
488,8.5,8.5,8.5,Portuguese
489,6.5,7.5,7.5,English
490,9.0,9.0,9.0,Swahili
491,9.0,9.0,9.0,Portuguese
492,9.0,9.0,9.0,Portuguese
493,9.0,8.5,8.5,Portuguese
494,9.0,9.0,9.0,Swahili
495,6.5,5.0,6.5,Portuguese
496,9.0,8.5,9.0,Swahili
497,9.0,7.5,8.5,French
498,9.0,9.0,9.0,Dutch
499,4.0,4.5,6.5,Portuguese
500,9.0,8.5,9.0,Spanish
501,7.5,6.5,6.5,English
502,6.5,5.5,6.5,Spanish
503,5.0,4.5,5.0,Spanish
504,6.5,6.5,7.5,Spanish
505,9.0,8.5,9.0,Spanish
506,9.0,9.0,9.0,Spanish
507,9.0,9.0,9.0,English
508,9.0,9.0,9.0,Dutch
509,9.0,9.0,9.0,French
510,9.0,9.0,9.0,Spanish
511,10.0,9.0,9.0,Portuguese
512,10.0,9.0,9.0,English
513,9.0,8.5,9.0,English
514,9.0,9.0,9.0,English
515,9.0,9.0,9.0,English
516,10.0,9.0,9.0,Portuguese
517,9.0,9.0,9.0,English
518,10.0,9.0,9.0,English
519,9.0,9.0,9.0,English
520,9.0,9.0,9.0,Portuguese
521,9.0,9.0,9.0,English
522,9.0,9.0,9.0,English
523,9.0,9.0,9.0,English
524,9.0,8.5,8.5,Swahili
525,9.0,9.0,9.0,Portuguese
526,9.0,9.0,9.0,Portuguese
527,9.0,9.0,9.0,Portuguese
528,9.0,8.5,9.0,English
529,9.0,9.0,9.0,English
530,9.0,9.0,9.0,English
