Convsation_Id,User_Rating,Observer_Rating,Self_Rating
370,8.,8.5,8.5
371,8.5,8.5,8.0
372,9.5,8.,8.
373,8.0,8.3,8.2
374,8.5,8.0,8.5
375,9.5,8.3,8.0
376,8.0,8.5,8.
377,8.0,8.5,8.0
378,9.5,8.0,7.5
379,9.5,8.0,8.
380,8.5,7.5,8.0
381,8.5,8.0,7.4
382,8.5,8.5,8.5
383,8.5,7.5,8.2
384,8.0,8.5,7.2
385,8.0,7.6,8.5
386,9.0,8.5,8.
387,8.5,8.,8.5
388,8.0,8.5,8.5
389,9.,8.,8.0
390,8.5,8.2,8.
391,8.0,8.5,8.0
392,8.5,7.2,8.5
393,8.0,8.3,8.5
394,8.5,7.6,8.0
395,8.5,8.5,8.5
396,8.5,8.3,8.5
397,9.0,8.5,8.5
398,9.5,8.5,8.5
399,8.5,8.5,8.5
400,8.5,8.2,8.
401,8.,8.5,8.5
402,8.0,8.5,8.
403,8.5,8.5,8.5
404,8.,8.2,8.5
405,8.0,8.2,8.5
406,8.5,8.0,8.0
407,8.,8.5,8.
408,8.0,8.0,7.0
409,9.0,8.0,8.0
410,9.0,8.0,8.
411,8.0,8.5,8.5
412,8.0,8.5,8.5
413,9.5,8.5,8.0
414,9.5,8.5,8.0
415,8.0,8.5,8.
416,8.5,8.5,8.
417,8.5,8.0,8.5
418,9.0,8.5,8.0
419,8.5,7.6,8.5
420,8.5,8.0,8.0
421,8.5,8.,8.0
422,8.5,8.0,7.5
423,9.0,8.3,8.0
424,8.5,8.5,8.5
425,8.0,8.5,8.5
426,8.0,8.3,8.5
427,8.0,8.5,8.
428,9.5,8.2,7.4
429,8.0,8.5,8.2
430,9.0,8.5,8.0
431,8.0,8.2,8.5
432,9.5,8.5,8.
433,8.5,8.5,8.
434,9.0,8.5,8.5
435,8.,8.5,8.
436,8.5,8.5,8.0
437,8.0,8.5,8.5
438,8.5,8.0,8.
439,9.0,8.5,8.2
440,8.0,8.5,8.5
441,8.0,8.5,8.2
442,8.5,8.5,8.0
443,8.5,8.5,8.5
444,9.0,8.5,8.5
445,8.5,8.5,8.5
446,8.0,8.0,8.0
447,8.5,8.5,8.5
448,8.0,8.5,8.2
449,8.0,8.5,8.0
450,8.5,8.2,8.5
451,8.5,8.,8.3
452,8.0,8.,8.0
453,8.,8.5,8.5
454,9.0,8.0,8.
455,8.5,8.5,8.
456,8.,8.,8.0
457,9.5,8.5,8.5
458,8.5,8.5,8.4
459,8.5,8.5,8.5
460,8.0,9.0,8.5
461,8.,8.5,8.5
462,8.0,8.5,8.5
463,8.0,8.5,8.5
464,8.5,8.5,8.5
465,8.5,7.0,8.5
466,8.5,8.5,8.5
467,8.5,8.5,8.2
468,8.0,8.5,8.5
469,8.5,8.0,8.0
470,9.0,8.0,8.0
471,9.5,8.5,8.5
472,8.5,8.5,8.5
473,8.,8.3,8.5
474,8.0,8.2,8.2
475,8.0,8.5,8.5
476,8.5,8.0,8.0
477,8.0,8.5,7.5
478,9.5,8.0,8.5
479,8.5,8.5,8.5
480,8.5,8.5,8.3
481,8.0,8.5,8.0
482,8.0,7.5,8.5
483,8.5,8.5,8.5
484,8.5,8.,8.5
485,8.5,8.2,8.0
486,9.0,8.2,8.0
487,9.5,8.2,8.
488,8.0,8.0,8.0
489,8.5,8.2,8.0
490,8.0,8.0,8.0
491,8.5,8.5,8.5
492,8.5,8.0,8.5
493,8.5,7.5,8.5
494,8.5,8.0,8.
495,8.5,8.0,8.0
496,9.5,8.5,8.
497,8.5,8.5,7.5
